customer_number,use_case_x,registration_month,kyc_status,spend_volume,spend_transaction_count,use_case_y,num_use_case
10020365,P2P Sending,Jul 2021,1,13725,1,"['P2P Sending', 'Bills Payment', 'PAYMAYA SHOP', 'Pay with PayMaya']",4
10020365,Bills Payment,Jul 2021,1,4013,2,"['P2P Sending', 'Bills Payment', 'PAYMAYA SHOP', 'Pay with PayMaya']",4
10020365,PAYMAYA SHOP,Jul 2021,1,999,10,"['P2P Sending', 'Bills Payment', 'PAYMAYA SHOP', 'Pay with PayMaya']",4
10020365,Pay with PayMaya,Jul 2021,1,760,2,"['P2P Sending', 'Bills Payment', 'PAYMAYA SHOP', 'Pay with PayMaya']",4
10020368,ATM Withdrawal,Aug 2020,1,7019,3,"['ATM Withdrawal', 'P2P - Consumer to Negosyo Sending']",2
10020368,P2P - Consumer to Negosyo Sending,Aug 2020,1,1500,1,"['ATM Withdrawal', 'P2P - Consumer to Negosyo Sending']",2
10020410,P2P Sending,Aug 2021,1,500,1,"['P2P Sending', 'Instapay Sending']",2
10020410,Instapay Sending,Aug 2021,1,1550,4,"['P2P Sending', 'Instapay Sending']",2
10020418,Instapay Sending,Feb 2019,1,400,2,"['Instapay Sending', 'Online Purchase', 'ATM Withdrawal', 'P2P Sending', 'PAYMAYA SHOP']",5
10020418,Online Purchase,Feb 2019,1,7788,6,"['Instapay Sending', 'Online Purchase', 'ATM Withdrawal', 'P2P Sending', 'PAYMAYA SHOP']",5
10020418,ATM Withdrawal,Feb 2019,1,1534,2,"['Instapay Sending', 'Online Purchase', 'ATM Withdrawal', 'P2P Sending', 'PAYMAYA SHOP']",5
10020418,P2P Sending,Feb 2019,1,180,1,"['Instapay Sending', 'Online Purchase', 'ATM Withdrawal', 'P2P Sending', 'PAYMAYA SHOP']",5
10020418,PAYMAYA SHOP,Feb 2019,1,140,4,"['Instapay Sending', 'Online Purchase', 'ATM Withdrawal', 'P2P Sending', 'PAYMAYA SHOP']",5
10020429,Pay with PayMaya,Mar 2020,1,3081,1,"['Pay with PayMaya', 'Bills Payment']",2
10020429,Bills Payment,Mar 2020,1,2519.98,1,"['Pay with PayMaya', 'Bills Payment']",2
10020433,PAYMAYA SHOP,Nov 2018,1,10,1,['PAYMAYA SHOP'],1
1002045,P2P Sending,Mar 2018,1,7775,1,"['P2P Sending', 'PAYMAYA SHOP']",2
1002045,PAYMAYA SHOP,Mar 2018,1,160,5,"['P2P Sending', 'PAYMAYA SHOP']",2
10020468,PAYMAYA SHOP,Mar 2018,1,125,6,['PAYMAYA SHOP'],1
1002049,Online Purchase,Jun 2018,1,13231.08,46,"['Online Purchase', 'QR', 'Bills Payment', 'PAYMAYA SHOP']",4
1002049,QR,Jun 2018,1,149,1,"['Online Purchase', 'QR', 'Bills Payment', 'PAYMAYA SHOP']",4
1002049,Bills Payment,Jun 2018,1,3150,1,"['Online Purchase', 'QR', 'Bills Payment', 'PAYMAYA SHOP']",4
1002049,PAYMAYA SHOP,Jun 2018,1,50,1,"['Online Purchase', 'QR', 'Bills Payment', 'PAYMAYA SHOP']",4
10020505,PAYMAYA SHOP,Jul 2021,0,100,8,['PAYMAYA SHOP'],1
10020511,PAYMAYA SHOP,Jul 2021,0,50,1,"['PAYMAYA SHOP', 'QR']",2
10020511,QR,Jul 2021,0,6400,2,"['PAYMAYA SHOP', 'QR']",2
10020542,Online Purchase,Feb 2017,1,1600,1,['Online Purchase'],1
10020551,Pay with PayMaya,Dec 2019,1,29,1,"['Pay with PayMaya', 'Instapay Sending', 'Online Purchase', 'Bills Payment']",4
10020551,Instapay Sending,Dec 2019,1,1150,3,"['Pay with PayMaya', 'Instapay Sending', 'Online Purchase', 'Bills Payment']",4
10020551,Online Purchase,Dec 2019,1,747,1,"['Pay with PayMaya', 'Instapay Sending', 'Online Purchase', 'Bills Payment']",4
10020551,Bills Payment,Dec 2019,1,13807,1,"['Pay with PayMaya', 'Instapay Sending', 'Online Purchase', 'Bills Payment']",4
1002058,PAYMAYA SHOP,May 2021,1,370,3,['PAYMAYA SHOP'],1
1002064,Bills Payment,Jul 2017,1,743,1,['Bills Payment'],1
10020647,PAYMAYA SHOP,May 2021,1,1320,28,"['PAYMAYA SHOP', 'Instapay Sending']",2
10020647,Instapay Sending,May 2021,1,0,0,"['PAYMAYA SHOP', 'Instapay Sending']",2
10020667,P2P Sending,Aug 2018,1,310,1,['P2P Sending'],1
10020679,Instapay Sending,Mar 2018,1,130,1,"['Instapay Sending', 'Bills Payment']",2
10020679,Bills Payment,Mar 2018,1,1738.39,1,"['Instapay Sending', 'Bills Payment']",2
10020706,P2P Sending,Mar 2018,1,2000,1,['P2P Sending'],1
10020718,ATM Withdrawal,Nov 2019,1,4116,1,"['ATM Withdrawal', 'Bills Payment', 'Instapay Sending', 'P2P Sending', 'PAYMAYA SHOP']",5
10020718,Bills Payment,Nov 2019,1,1605,1,"['ATM Withdrawal', 'Bills Payment', 'Instapay Sending', 'P2P Sending', 'PAYMAYA SHOP']",5
10020718,Instapay Sending,Nov 2019,1,250,2,"['ATM Withdrawal', 'Bills Payment', 'Instapay Sending', 'P2P Sending', 'PAYMAYA SHOP']",5
10020718,P2P Sending,Nov 2019,1,6000,2,"['ATM Withdrawal', 'Bills Payment', 'Instapay Sending', 'P2P Sending', 'PAYMAYA SHOP']",5
10020718,PAYMAYA SHOP,Nov 2019,1,508,3,"['ATM Withdrawal', 'Bills Payment', 'Instapay Sending', 'P2P Sending', 'PAYMAYA SHOP']",5
1002075,ATM Withdrawal,May 2020,1,6030,2,"['ATM Withdrawal', 'P2P Sending']",2
1002075,P2P Sending,May 2020,1,7000,1,"['ATM Withdrawal', 'P2P Sending']",2
1002076,Instapay Sending,Feb 2021,1,500,1,"['Instapay Sending', 'Pay with PayMaya']",2
1002076,Pay with PayMaya,Feb 2021,1,316,2,"['Instapay Sending', 'Pay with PayMaya']",2
10020823,Bills Payment,Feb 2021,1,1507,3,['Bills Payment'],1
10020831,Online Purchase,Jun 2018,1,135,1,['Online Purchase'],1
10020838,Online Purchase,May 2018,1,950,1,"['Online Purchase', 'P2P Sending']",2
10020838,P2P Sending,May 2018,1,100,1,"['Online Purchase', 'P2P Sending']",2
1002084,Instapay Sending,Dec 2016,1,3000,1,"['Instapay Sending', 'Online Purchase']",2
1002084,Online Purchase,Dec 2016,1,9946.41,12,"['Instapay Sending', 'Online Purchase']",2
10020879,PAYMAYA SHOP,May 2019,1,40,3,['PAYMAYA SHOP'],1
10020890,Bills Payment,Dec 2015,0,1800,1,"['Bills Payment', 'Online Purchase']",2
10020890,Online Purchase,Dec 2015,0,1010.25,2,"['Bills Payment', 'Online Purchase']",2
10020913,P2P Sending,Jul 2021,1,1415,1,['P2P Sending'],1
1002092,Bills Payment,Aug 2020,1,5310.81,2,"['Bills Payment', 'PAYMAYA SHOP']",2
1002092,PAYMAYA SHOP,Aug 2020,1,1198,2,"['Bills Payment', 'PAYMAYA SHOP']",2
1002093,Bills Payment,Jun 2020,0,14289.77,6,['Bills Payment'],1
10020939,PAYMAYA SHOP,Nov 2020,1,295,14,"['PAYMAYA SHOP', 'P2P - Consumer to Negosyo Sending']",2
10020939,P2P - Consumer to Negosyo Sending,Nov 2020,1,7000,11,"['PAYMAYA SHOP', 'P2P - Consumer to Negosyo Sending']",2
10020964,PAYMAYA SHOP,Dec 2018,1,979,12,"['PAYMAYA SHOP', 'Bills Payment']",2
10020964,Bills Payment,Dec 2018,1,7500,1,"['PAYMAYA SHOP', 'Bills Payment']",2
10020982,PAYMAYA SHOP,Mar 2021,1,1099,3,['PAYMAYA SHOP'],1
10021041,Bills Payment,Feb 2020,1,210.03,1,['Bills Payment'],1
10021052,Pay with PayMaya,May 2020,1,99,1,['Pay with PayMaya'],1
10021134,Pay with PayMaya,Mar 2020,1,158.88,1,"['Pay with PayMaya', 'Bills Payment', 'Instapay Sending']",3
10021134,Bills Payment,Mar 2020,1,20000,1,"['Pay with PayMaya', 'Bills Payment', 'Instapay Sending']",3
10021134,Instapay Sending,Mar 2020,1,279800,6,"['Pay with PayMaya', 'Bills Payment', 'Instapay Sending']",3
10021141,Bills Payment,Mar 2018,1,5592.36,4,['Bills Payment'],1
10021189,QR,May 2020,1,252,1,['QR'],1
1002119,Pay with PayMaya,Sep 2019,1,790,5,['Pay with PayMaya'],1
1002120,Instapay Sending,Jun 2020,1,40,1,['Instapay Sending'],1
10021215,P2P Sending,Nov 2019,1,25050,6,['P2P Sending'],1
10021278,PAYMAYA SHOP,Sep 2017,1,170,3,"['PAYMAYA SHOP', 'Pay with PayMaya', 'Online Purchase']",3
10021278,Pay with PayMaya,Sep 2017,1,299,2,"['PAYMAYA SHOP', 'Pay with PayMaya', 'Online Purchase']",3
10021278,Online Purchase,Sep 2017,1,549,1,"['PAYMAYA SHOP', 'Pay with PayMaya', 'Online Purchase']",3
1002131,Online Purchase,Feb 2020,1,149,1,"['Online Purchase', 'PAYMAYA SHOP']",2
1002131,PAYMAYA SHOP,Feb 2020,1,415,3,"['Online Purchase', 'PAYMAYA SHOP']",2
1002132,PAYMAYA SHOP,Oct 2019,1,999,1,"['PAYMAYA SHOP', 'Bills Payment']",2
1002132,Bills Payment,Oct 2019,1,2411.96,3,"['PAYMAYA SHOP', 'Bills Payment']",2
10021343,PAYMAYA SHOP,Dec 2017,1,249,2,"['PAYMAYA SHOP', 'Online Purchase']",2
10021343,Online Purchase,Dec 2017,1,647,3,"['PAYMAYA SHOP', 'Online Purchase']",2
10021365,ATM Withdrawal,Jun 2019,1,10292,6,['ATM Withdrawal'],1
10021419,Instapay Sending,Dec 2019,1,11000,3,['Instapay Sending'],1
1002145,Online Purchase,Oct 2017,1,468,1,['Online Purchase'],1
10021478,PAYMAYA SHOP,Sep 2019,1,30,3,['PAYMAYA SHOP'],1
