customer_number,use_case_x,registration_month,kyc_status,spend_volume,spend_transaction_count,use_case_y,num_use_case
10016999,Bills Payment,Jul 2019,0,409.07,1,"['Pay with PayMaya', 'PAYMAYA SHOP', 'QR', 'Bills Payment']",4
10017009,PAYMAYA SHOP,Mar 2018,1,100,1,"['PAYMAYA SHOP', 'Bills Payment']",2
10017009,Bills Payment,Mar 2018,1,2010,1,"['PAYMAYA SHOP', 'Bills Payment']",2
10017017,Instapay Sending,Oct 2019,1,140,1,['Instapay Sending'],1
10017020,Pay with PayMaya,Jul 2021,1,458,1,"['Pay with PayMaya', 'PAYMAYA SHOP']",2
10017020,PAYMAYA SHOP,Jul 2021,1,378,4,"['Pay with PayMaya', 'PAYMAYA SHOP']",2
10017041,Pay with PayMaya,Jul 2021,1,547,3,"['Pay with PayMaya', 'Online Purchase']",2
10017041,Online Purchase,Jul 2021,1,4479,3,"['Pay with PayMaya', 'Online Purchase']",2
10017048,Instapay Sending,Oct 2018,1,17200,1,"['Instapay Sending', 'Bills Payment']",2
10017048,Bills Payment,Oct 2018,1,4970.84,1,"['Instapay Sending', 'Bills Payment']",2
10017056,Pay with PayMaya,Jul 2021,0,7,1,['Pay with PayMaya'],1
10017065,ATM Withdrawal,Sep 2020,1,108207,13,['ATM Withdrawal'],1
1001712,Bills Payment,Jan 2020,1,2210,2,"['Bills Payment', 'PAYMAYA SHOP']",2
1001712,PAYMAYA SHOP,Jan 2020,1,350,8,"['Bills Payment', 'PAYMAYA SHOP']",2
10017157,PAYMAYA SHOP,Dec 2017,1,499,5,['PAYMAYA SHOP'],1
10017177,P2P Sending,Sep 2020,1,20,1,['P2P Sending'],1
10017179,Bills Payment,Apr 2020,1,1000,1,['Bills Payment'],1
1001718,Online Purchase,Sep 2020,1,100,1,"['Online Purchase', 'PAYMAYA SHOP']",2
