customer_number,use_case,registration_month,kyc_status,spend_volume,spend_transaction_count
10014425,P2P Sending,3/1/18 0:00,1,3600.0,1
10014437,Instapay Sending,6/1/20 0:00,1,14816.0,17
10014437,PAYMAYA SHOP,6/1/20 0:00,1,614.0,8
10014442,PAYMAYA SHOP,4/1/21 0:00,0,1160.0,25
10014516,Online Purchase,5/1/19 0:00,1,194.0,1
10014518,P2P Sending,7/1/21 0:00,1,1000.0,1
10014561,Instapay Sending,5/1/20 0:00,1,4000.0,2
10014561,QR,5/1/20 0:00,1,6209.9,4
10014612,PAYMAYA SHOP,12/1/19 0:00,1,640.0,6
10014612,Online Purchase,12/1/19 0:00,1,2314.0,4
10014642,PAYMAYA SHOP,6/1/17 0:00,1,100.0,1
10014642,Bills Payment,6/1/17 0:00,1,317.88,1
10014642,Instapay Sending,6/1/17 0:00,1,2000.0,3
10014642,QR,6/1/17 0:00,1,1682.0,1
10014691,QR,8/1/21 0:00,1,45.0,2
10014771,PAYMAYA SHOP,3/1/18 0:00,1,730.0,10
10014771,P2P Sending,3/1/18 0:00,1,16950.0,4
10014771,Bills Payment,3/1/18 0:00,1,7700.01,2
10014771,Online Purchase,3/1/18 0:00,1,1499.0,1
10014771,QR,3/1/18 0:00,1,97.5,1
10014771,Pay with PayMaya,3/1/18 0:00,1,98.0,2
10014821,Instapay Sending,11/1/19 0:00,1,100.0,1
10014821,PAYMAYA SHOP,11/1/19 0:00,1,75.0,3
10014824,Bills Payment,6/1/20 0:00,1,2710.67,2
10014824,Instapay Sending,6/1/20 0:00,1,79.0,1
10014880,Bills Payment,4/1/18 0:00,1,2798.5,2
10014880,PAYMAYA SHOP,4/1/18 0:00,1,210.0,4
10014920,PAYMAYA SHOP,11/1/20 0:00,0,630.0,9
10014924,PAYMAYA SHOP,7/1/21 0:00,1,1156.0,5
10014924,P2P - Consumer to Negosyo Sending,7/1/21 0:00,1,21500.0,12
10014928,QR,5/1/17 0:00,1,2693.75,6
10014928,Bills Payment,5/1/17 0:00,1,7503.09,1
10014928,Instapay Sending,5/1/17 0:00,1,2000.0,1
10014938,Bills Payment,1/1/18 0:00,1,2299.21,2
10014938,Instapay Sending,1/1/18 0:00,1,1980.0,5
10014938,Online Purchase,1/1/18 0:00,1,12563.1,21
10014938,Pay with PayMaya,1/1/18 0:00,1,9937.0,14
10014938,PAYMAYA SHOP,1/1/18 0:00,1,998.0,3
10014956,PAYMAYA SHOP,4/1/21 0:00,1,50.0,1
10014956,QR,4/1/21 0:00,1,1565.0,2
10014956,Pay with PayMaya,4/1/21 0:00,1,2806.5,1
10014956,P2P - Consumer to Negosyo Sending,4/1/21 0:00,1,2000.0,1
10014970,Bills Payment,8/1/20 0:00,0,4007.0,1
10014983,Instapay Sending,12/1/17 0:00,1,19268.0,2
10015067,Online Purchase,6/1/19 0:00,1,149.0,1
10015067,Instapay Sending,6/1/19 0:00,1,550.0,2
10015067,PAYMAYA SHOP,6/1/19 0:00,1,1966.0,33
10015067,P2P - Consumer to Negosyo Sending,6/1/19 0:00,1,3600.0,1
10015079,Instapay Sending,12/1/18 0:00,1,300.0,1
10015079,PAYMAYA SHOP,12/1/18 0:00,1,40.0,4
